Restaurant_Info_ID,Restaurant_Name,Rating,Review_Count,Price,Restaurant_Address,Restaurant_City,Zip_Code,Latitude,Longitude,Categories,Inspection_Info_ID,Inspection_date,Score,Grade,Population_Density_per_sq_mi,Median_Household_Income,Median_Home_Value,Employment_Rate,Total_Population,Total_Employer_Establishments
8706,Subway,2.7,45,$,3112 N Glendale Blvd,Los Angeles,90039,34.11641510653765,-118.2621069,"Sandwiches, Fast Food",7380,2024-07-30,99.0,A,7709.0,99226,600000.0,93.15,28839,1192
8706,Subway,2.7,45,$,3112 N Glendale Blvd,Los Angeles,90039,34.11641510653765,-118.2621069,"Sandwiches, Fast Food",7462,2024-07-30,99.0,A,7709.0,99226,600000.0,93.15,28839,1192
8708,Starfish Sushi,3.9,410,$$,1755 N Vermont Ave,Los Angeles,90027,34.102973,-118.292044,Sushi Bars,7463,2025-03-17,97.0,A,5473.0,78356,793200.0,92.05,44678,1744
8708,Starfish Sushi,3.9,410,$$,1755 N Vermont Ave,Los Angeles,90027,34.102973,-118.292044,Sushi Bars,7464,2025-03-17,97.0,A,5473.0,78356,793200.0,92.05,44678,1744
8709,Jersey Mike's Subs,3.8,131,$$,2664 Griffith Park Blvd,Los Angeles,90039,34.10697,-118.27192063014814,"Sandwiches, Fast Food, Delis",6937,2024-09-12,98.0,A,7709.0,99226,600000.0,93.15,28839,1192
8711,Pattaya Bay Thai,3.6,484,$$,1727 N Vermont Ave,Los Angeles,90027,34.102644,-118.292127,Thai,3717,2025-03-10,94.0,A,5473.0,78356,793200.0,92.05,44678,1744
8712,Speranza,3.8,674,$$,2547 Hyperion Ave,Los Angeles,90027,34.105764,-118.273017,Italian,992,2024-12-17,95.0,A,5473.0,78356,793200.0,92.05,44678,1744
8721,Best Fckn Hot Chicken Los  Feliz,3.8,19,$$,1670 N Vermont Ave,Los Angeles,90027,34.101696,-118.29164,"Fast Food, Chicken Wings",5329,2024-10-17,96.0,A,5473.0,78356,793200.0,92.05,44678,1744
8726,Pimai It's Thai,3.8,605,$$,5833 Franklin Ave,Los Angeles,90028,34.105577,-118.31676,Thai,112,2024-09-19,90.0,A,21402.0,52814,593900.0,89.52,29887,1728
8728,Los Balcones,3.7,597,$$,1360 Vine St,Los Angeles,90028,34.09592,-118.32643,"Peruvian, Cocktail Bars",6578,2025-03-05,92.0,A,21402.0,52814,593900.0,89.52,29887,1728
8733,Turn Dough,4.4,165,$$,6771 Hollywood Blvd,Los Angeles,90028,34.101747,-118.3382113,"Ice Cream & Frozen Yogurt, Bakeries, Cafes",1493,2025-02-11,99.0,A,21402.0,52814,593900.0,89.52,29887,1728
8734,Roasted Duck By Pa Ord,4.4,128,$$,5136 Hollywood Blvd,Los Angeles,90027,34.101457,-118.301858,Thai,7468,2024-10-07,96.0,A,5473.0,78356,793200.0,92.05,44678,1744
8734,Roasted Duck By Pa Ord,4.4,128,$$,5136 Hollywood Blvd,Los Angeles,90027,34.101457,-118.301858,Thai,7870,2024-10-07,96.0,A,5473.0,78356,793200.0,92.05,44678,1744
8734,Roasted Duck By Pa Ord,4.4,128,$$,5136 Hollywood Blvd,Los Angeles,90027,34.101457,-118.301858,Thai,8019,2024-10-07,96.0,A,5473.0,78356,793200.0,92.05,44678,1744
8736,WILDBIRD,4.5,373,$$,6374 W Sunset Blvd,Los Angeles,90028,34.09774,-118.32811,"Chicken Shop, Mexican, Salad",3031,2024-11-20,94.0,A,21402.0,52814,593900.0,89.52,29887,1728
8737,Kingdom Dim Sum,4.3,171,$$,5445 Hollywood Blvd,Los Angeles,90027,34.10195,-118.3085,"Dim Sum, Cantonese, Desserts",3588,2024-12-10,91.0,A,5473.0,78356,793200.0,92.05,44678,1744
8737,Kingdom Dim Sum,4.3,171,$$,5445 Hollywood Blvd,Los Angeles,90027,34.10195,-118.3085,"Dim Sum, Cantonese, Desserts",3910,2024-12-10,91.0,A,5473.0,78356,793200.0,92.05,44678,1744
